file,drug,stimulus_type,center_sf,surround_sf,sweeps,clamp_mV,notes
2026_05_08_0040.abf,TTX,spot,,,0,-70,simple spot diameter 200um contrast 4090
2026_05_08_0042.abf,TTX,center_only,1.0,100.0,0;1;2,-70,center contrast 50 surround contrast 50
2026_05_08_0043.abf,TTX,center_surround,1.0,1.0,0;1;2,-70,center contrast 50 surround contrast 50
2026_05_08_0050.abf,TTX,center_surround,1.0,0.5,0;1;2,-70,center contrast 50 surround contrast 50
2026_05_08_0051.abf,TTX,center_surround,1.0,2.0,0;1;2,-70,center contrast 50 surround contrast 50
2026_05_08_0052.abf,TTX,center_surround,1.0,8.0,0;1;2,-70,center contrast 50 surround contrast 50
2026_05_08_0053.abf,TTX,center_surround,1.0,32.0,0;1;2,-70,center contrast 50 surround contrast 50
2026_05_08_0054.abf,TTX,center_surround,1.0,4.0,0;1;2,-70,center contrast 50 surround contrast 50
2026_05_08_0055.abf,TTX,center_surround,1.0,16.0,0;1;2,-70,center contrast 50 surround contrast 50
